matchday,homeTeam,awayTeam,homeScore,awayScore,winner
23,Crystal Palace,Burnley,1,0,HOME_TEAM
23,Watford,Southampton,2,2,DRAW
23,Spurs,Everton,4,0,HOME_TEAM
23,Bournemouth,Arsenal,2,1,HOME_TEAM
23,Liverpool,Man City,4,3,HOME_TEAM
23,Man Utd,Stoke,3,0,HOME_TEAM
24,Brighton,Chelsea,0,4,AWAY_TEAM
24,Arsenal,Crystal Palace,4,1,HOME_TEAM
24,Stoke,Huddersfield,2,0,HOME_TEAM
24,Everton,West Brom,1,1,DRAW
24,Leicester,Watford,2,0,HOME_TEAM
24,Burnley,Man Utd,0,1,AWAY_TEAM
24,West Ham,Bournemouth,1,1,DRAW
24,Man City,Newcastle,3,1,HOME_TEAM
24,Southampton,Spurs,1,1,DRAW
24,Swansea,Liverpool,1,0,HOME_TEAM
25,Swansea,Arsenal,3,1,HOME_TEAM
25,West Ham,Crystal Palace,1,1,DRAW
25,Huddersfield,Liverpool,0,3,AWAY_TEAM
25,Newcastle,Burnley,1,1,DRAW
25,Chelsea,Bournemouth,0,3,AWAY_TEAM
25,Everton,Leicester,2,1,HOME_TEAM
25,Southampton,Brighton,1,1,DRAW
25,Man City,West Brom,3,0,HOME_TEAM
25,Stoke,Watford,0,0,DRAW
25,Spurs,Man Utd,2,0,HOME_TEAM
26,Burnley,Man City,1,1,DRAW
26,West Brom,Southampton,2,3,AWAY_TEAM
26,Man Utd,Huddersfield,2,0,HOME_TEAM
26,Leicester,Swansea,1,1,DRAW
26,Brighton,West Ham,3,1,HOME_TEAM
26,Bournemouth,Stoke,2,1,HOME_TEAM
26,Arsenal,Everton,5,1,HOME_TEAM
26,Crystal Palace,Newcastle,1,1,DRAW
26,Liverpool,Spurs,2,2,DRAW
26,Watford,Chelsea,4,1,HOME_TEAM
27,Spurs,Arsenal,1,0,HOME_TEAM
27,Swansea,Burnley,1,0,HOME_TEAM
27,Stoke,Brighton,1,1,DRAW
27,Everton,Crystal Palace,3,1,HOME_TEAM
27,West Ham,Watford,2,0,HOME_TEAM
27,Man City,Leicester,5,1,HOME_TEAM
27,Huddersfield,Bournemouth,4,1,HOME_TEAM
27,Newcastle,Man Utd,1,0,HOME_TEAM
27,Southampton,Liverpool,0,2,AWAY_TEAM
27,Chelsea,West Brom,3,0,HOME_TEAM
28,Leicester,Stoke,1,1,DRAW
28,Liverpool,West Ham,4,1,HOME_TEAM
28,West Brom,Huddersfield,1,2,AWAY_TEAM
28,Burnley,Southampton,1,1,DRAW
28,Brighton,Swansea,4,1,HOME_TEAM
28,Bournemouth,Newcastle,2,2,DRAW
28,Watford,Everton,1,0,HOME_TEAM
28,Crystal Palace,Spurs,0,1,AWAY_TEAM
28,Man Utd,Chelsea,2,1,HOME_TEAM
28,Arsenal,Man City,0,3,AWAY_TEAM
29,Burnley,Everton,2,1,HOME_TEAM
29,Swansea,West Ham,4,1,HOME_TEAM
29,Spurs,Huddersfield,2,0,HOME_TEAM
29,Leicester,Bournemouth,1,1,DRAW
29,Southampton,Stoke,0,0,DRAW
29,Watford,West Brom,1,0,HOME_TEAM
29,Liverpool,Newcastle,2,0,HOME_TEAM
29,Brighton,Arsenal,2,1,HOME_TEAM
29,Man City,Chelsea,1,0,HOME_TEAM
29,Crystal Palace,Man Utd,2,3,AWAY_TEAM
30,Man Utd,Liverpool,2,1,HOME_TEAM
30,Newcastle,Southampton,3,0,HOME_TEAM
30,Everton,Brighton,2,0,HOME_TEAM
30,West Brom,Leicester,1,4,AWAY_TEAM
30,Huddersfield,Swansea,0,0,DRAW
30,West Ham,Burnley,0,3,AWAY_TEAM
30,Chelsea,Crystal Palace,2,1,HOME_TEAM
30,Arsenal,Watford,3,0,HOME_TEAM
30,Bournemouth,Spurs,1,4,AWAY_TEAM
30,Stoke,Man City,0,2,AWAY_TEAM
31,Stoke,Everton,1,2,AWAY_TEAM
31,Huddersfield,Crystal Palace,0,2,AWAY_TEAM
31,Bournemouth,West Brom,2,1,HOME_TEAM
31,Liverpool,Watford,5,0,HOME_TEAM
32,Crystal Palace,Liverpool,1,2,AWAY_TEAM
32,Newcastle,Huddersfield,1,0,HOME_TEAM
32,West Brom,Burnley,1,2,AWAY_TEAM
32,Man Utd,Swansea,2,0,HOME_TEAM
32,West Ham,Southampton,3,0,HOME_TEAM
32,Brighton,Leicester,0,2,AWAY_TEAM
32,Watford,Bournemouth,2,2,DRAW
32,Everton,Man City,1,3,AWAY_TEAM
32,Arsenal,Stoke,3,0,HOME_TEAM
32,Chelsea,Spurs,1,3,AWAY_TEAM
33,Everton,Liverpool,0,0,DRAW
33,Stoke,Spurs,1,2,AWAY_TEAM
33,West Brom,Swansea,1,1,DRAW
33,Leicester,Newcastle,1,2,AWAY_TEAM
33,Brighton,Huddersfield,1,1,DRAW
33,Watford,Burnley,1,2,AWAY_TEAM
33,Bournemouth,Crystal Palace,2,2,DRAW
33,Man City,Man Utd,2,3,AWAY_TEAM
33,Arsenal,Southampton,3,2,HOME_TEAM
33,Chelsea,West Ham,1,1,DRAW
34,Southampton,Chelsea,2,3,AWAY_TEAM
34,Swansea,Everton,1,1,DRAW
34,Burnley,Leicester,2,1,HOME_TEAM
34,Huddersfield,Watford,1,0,HOME_TEAM
34,Crystal Palace,Brighton,3,2,HOME_TEAM
34,Liverpool,Bournemouth,3,0,HOME_TEAM
34,Spurs,Man City,1,3,AWAY_TEAM
34,Newcastle,Arsenal,2,1,HOME_TEAM
34,Man Utd,West Brom,0,1,AWAY_TEAM
34,West Ham,Stoke,1,1,DRAW
35,Brighton,Spurs,1,1,DRAW
35,Bournemouth,Man Utd,0,2,AWAY_TEAM
35,Leicester,Southampton,0,0,DRAW
31,Burnley,Chelsea,1,2,AWAY_TEAM
35,West Brom,Liverpool,2,2,DRAW
35,Watford,Crystal Palace,0,0,DRAW
35,Arsenal,West Ham,4,1,HOME_TEAM
35,Stoke,Burnley,1,1,DRAW
35,Man City,Swansea,5,0,HOME_TEAM
35,Everton,Newcastle,1,0,HOME_TEAM
36,Liverpool,Stoke,0,0,DRAW
36,Newcastle,West Brom,0,1,AWAY_TEAM
36,Burnley,Brighton,0,0,DRAW
36,Huddersfield,Everton,0,2,AWAY_TEAM
36,Southampton,Bournemouth,2,1,HOME_TEAM
36,Crystal Palace,Leicester,5,0,HOME_TEAM
36,Swansea,Chelsea,0,1,AWAY_TEAM
36,West Ham,Man City,1,4,AWAY_TEAM
36,Man Utd,Arsenal,2,1,HOME_TEAM
36,Spurs,Watford,2,0,HOME_TEAM
37,Brighton,Man Utd,1,0,HOME_TEAM
37,Stoke,Crystal Palace,1,2,AWAY_TEAM
37,West Brom,Spurs,1,0,HOME_TEAM
37,Leicester,West Ham,0,2,AWAY_TEAM
37,Watford,Newcastle,2,1,HOME_TEAM
37,Bournemouth,Swansea,1,0,HOME_TEAM
37,Everton,Southampton,1,1,DRAW
37,Man City,Huddersfield,0,0,DRAW
37,Arsenal,Burnley,5,0,HOME_TEAM
37,Chelsea,Liverpool,1,0,HOME_TEAM
31,Swansea,Southampton,0,1,AWAY_TEAM
35,Chelsea,Huddersfield,1,1,DRAW
31,Leicester,Arsenal,3,1,HOME_TEAM
31,Man City,Brighton,3,1,HOME_TEAM
31,Spurs,Newcastle,1,0,HOME_TEAM
31,West Ham,Man Utd,0,0,DRAW
38,Liverpool,Brighton,4,0,HOME_TEAM
38,Swansea,Stoke,1,2,AWAY_TEAM
38,Newcastle,Chelsea,3,0,HOME_TEAM
38,Spurs,Leicester,5,4,HOME_TEAM
38,Man Utd,Watford,1,0,HOME_TEAM
38,Burnley,Bournemouth,1,2,AWAY_TEAM
38,Huddersfield,Arsenal,0,1,AWAY_TEAM
38,West Ham,Everton,3,1,HOME_TEAM
38,Southampton,Man City,0,1,AWAY_TEAM
38,Crystal Palace,West Brom,2,0,HOME_TEAM
